kor_co_nm,fin_prdt_nm,join_way,loan_inci_expn,erly_rpay_fee,dly_rate,loan_lmt,dcls_strt_day,dcls_end_day
아이엠뱅크,IM주택담보대출_고정금리(구입),스마트폰,"1.인지세:해당세액의 50%
2.국민주택채권매입비용 : 대출금액×115%×1%×채권할인율",중도상환수수료×1.5%×(3년-대출경과일수)÷3년(일수),"○ 대출이자율 + 3.0%
○ 최고 연체이자율 : 15.0%",담보인정비율(LTV) 70%,20241220,20250131
부산은행,BNK행복스케치 모기지론,"영업점,인터넷,스마트폰,모집인","1. 인지세 : 해당세액의 50%
2. 국민주택채권 매입비용 :
대출금액 X 110 ~ 120% X 1% X 채권할인율","중도상환금액 X 1.30% X (대출잔여일수 ÷ 대출기간*)
*대출기간이 3년을 초과하는 경우 3년","대출금리+3.0%
(최고 15.0%)",지역에 따라 담보인정비율(LTV) 최대 80% 이내,20241217,
부산은행,BNK357금리안심모기지론,"영업점,인터넷,스마트폰,모집인","1. 인지세 : 해당세액의 50%
2. 국민주택채권 매입비용 :
대출금액 X 110 ~ 120% X 1% X 채권할인율","중도상환금액 X 1.50% X (대출잔여일수 ÷ 대출기간*)
*대출기간이 3년을 초과하는 경우 3년","대출금리+3.0%
(최고 15.0%)",지역에 따라 담보인정비율(LTV) 최대 80% 이내,20241217,
부산은행,BNK금리상한 모기지론,"영업점,인터넷,스마트폰,모집인","1. 인지세 : 해당세액의 50%
2. 국민주택채권 매입비용 :
대출금액 X 110 ~ 120% X 1% X 채권할인율","중도상환금액 X 1.30% X (대출잔여일수 ÷ 대출기간*)
*대출기간이 3년을 초과하는 경우 3년","대출금리+3.0%
(최고 15.0%)",지역에 따라 담보인정비율(LTV) 최대 80% 이내,20241217,
광주은행,광주은행아파트담보대출,영업점,1. 인지대 : 50%                                    2. 근저당권 설정비 중 고객 부담 항목 - 주택채권 매입비용 등,중도상환금액 × 중도상환수수료율 × (대출잔여일수 ÷ 대출기간)                              ※ 고정금리대출 : 1.5%                          ※ 변동금리대출 : 1.3%,적용금리 + 3% (최고 15%),담보인정비율(LTV) 70%,20241220,20250131
광주은행,광주은행기타주택담보대출,영업점,1. 인지대 : 50%                                    2. 근저당권 설정비 중 고객 부담 항목 - 주택채권 매입비용 등,중도상환금액 × 중도상환수수료율 × (대출잔여일수 ÷ 대출기간)                              ※ 고정금리대출 : 1.5%                          ※ 변동금리대출 : 1.3%,적용금리 + 3% (최고 15%),담보인정비율(LTV) 70%,20241220,20250131
광주은행,KJB모바일 주택담보대출,스마트폰,1. 인지대 : 50%                                    2. 근저당권 설정비 중 고객 부담 항목 - 주택채권 매입비용 등,중도상환금액 × 중도상환수수료율 × (대출잔여일수 ÷ 대출기간)                              ※ 고정금리대출 : 1.5%                          ※ 변동금리대출 : 1.3%,적용금리 + 3% (최고 15%),담보인정비율(LTV) 70%,20241220,20250131
제주은행,금리safe모기지론,영업점,"인지세 50%
주택채권매입비용","중도상환금액×1.3%×대출잔여일수/대출기간
3년경과시 면제","적용금리+3%
최고적용 15%",감정가의 70%이내,20241220,
제주은행,제주홈대출,영업점,"인지세 50%
주택채권매입비용","중도상환금액×1.3%×대출잔여일수/대출기간
3년경과시 면제","적용금리+3%
최고적용 15%",감정가의 70%이내,20241220,
제주은행,제주장기모기지론,영업점,"인지세 50%
주택채권매입비용","중도상환금액×1.3%×대출잔여일수/대출기간
3년경과시 면제","적용금리+3%
최고적용 15%",감정가의 70%이내,20241220,
전북은행,JB해피홈론,"영업점,모집인","인지세:50%
주택채권매입:대출금액×120%×1%×할인율
화재보험료(아파트외)
주택신보출연료(주택구입)","상환금액×
수수료율(잔여일 1년미만 0.8%, 1년초과 1.8%)×
대출잔여일수÷대출기간(최장 3년)","대출금리+3%
(최고 연체이자율:15%)",LTV 70%,20241220,20250119
전북은행,BEST고정금리모기지론,영업점,"인지세:50%
주택채권매입:대출금액×120%×1%×할인율
화재보험료(아파트외)
주택신보출연료(주택구입)","상환금액×
수수료율(잔여일 1년미만 1%, 1년초과 2%)×
대출잔여일수÷대출기간(최장 3년)","대출금리+3%
(최고 연체이자율:15%)",LTV 70%,20241220,20250119
전북은행,JB우리집대출,"영업점,스마트폰","인지세:50%
주택채권매입:대출금액×120%×1%×할인율
화재보험료(아파트외)
주택신보출연료(주택구입)","상환금액×
수수료율(변동금리 0.8%, ,고정금리 1.0%)×
대출잔여일수÷대출기간(최장 3년)","대출금리+3%
(최고 연체이자율:15%)",LTV 70%,20241220,20250119
경남은행,집집마다 도움대출II,"영업점,모집인","인지세: 대출금액 구간별 해당 세액의 50%
[대출금 5천만원 미만시 면제]
국민주택채권매입비: 대출금 X 110% X 1% X 채권할인율
주택신보출연료(주택자금용도)","중도상환대출금 X 0.5~1.5% X (대출 잔여기간 / 대출 기간)
[취급후1년이내 1.5%, 취급후 2년이내 1%, 취급후 3년이내 0.5%, 단, 취급후 3년 경과시 면제, 최초 취급액의 10% 이내 면제]",대출금리+3.0%,LTV 80% 이내,20241218,
경남은행,BNK모바일주택담보대출,"영업점,모집인","인지세: 대출금액 구간별 해당 세액의 50%
[대출금 5천만원 미만시 면제]
국민주택채권매입비: 대출금 X 110% X 1% X 채권할인율
주택신보출연료(주택자금용도)","중도상환대출금 X 1% X (대출 잔여기간/대출 기간)
[단, 취급후3년 경과시 면제, 단, 최초 취급액의 10% 이내 면제]",대출금리+3.0%,"LTV 70% 이내(KB시세 확인 가능한 아파트만 가능, 부,울,경 外 지역은 구입자금 취급 불가)",20241218,
중소기업은행,IBK주택담보대출,"영업점,모집인","인지세 : 해당세액의 50%
국민주택채권 매입비용 : 대출금액 x 120% x 1% x 채권할인률
화재보험료(아파트외 물건지에 한함)","중도상환금액 x 수수료율* x (대출잔여일수 ÷ 대출기간)
  * 고정금리 1.2%, 변동금리 0.9%",대출금리 + 3.0%(최고 연체이자율 : 11%),LTV 70%,20241218,20251217
한국산업은행,"산은 주택대출
(생활자금)",기타,"* 구입자금 취급중단, 기존 주택담보대출 고객에 대한 추가 생활자금대출만 취급

- 인지세 : 해당세액의 50%
- 국민주택채권 매입비용","- 중도상환금액 × 중도상환수수료율* × (대출잔여일수 ÷ 대출기간** )
* 담보대출 : 고정금리 1.2%, 변동금리 0.9% / 신용대출 : 고정금리 0.8%, 변동금리 0.5%
**대출기간이 3년을 초과하는 경우 3년","대출금리+3%
최고 이자율 : 15%",- LTV 70% 등,20241218,
국민은행,"KB주택담보대출변동
(일반자금)","영업점,모집인","ㅇ 인지세 : 해당세액의 50%
ㅇ 국민주택채권 매입 : 대출금액 × 120% × 1% × 채권할인율
ㅇ 화재보험료 (아파트 외 물건지에 한함)",중도상환금액 × 1.2% × (대출잔여일수 ÷ 3년),"대출금리+3.0%
최고연체이자율:15%",LTV 70%,20241220,
국민은행,KB스타 아파트담보대출 혼합금리(주택자금),"영업점,모집인","ㅇ 인지세 : 해당세액의 50%
ㅇ 국민주택채권 매입 : 대출금액 × 120% × 1% × 채권할인율
ㅇ 화재보험료 (아파트 외 물건지에 한함)",중도상환금액 × 1.4% × (대출잔여일수 ÷ 3년),"대출금리+3.0%
최고연체이자율:15%",LTV 70%,20241220,
신한은행,신한주택대출(아파트),"영업점,모집인","- 인지세: 해당세액의 50%(대출금액 5천만원 이하시 없음)
- 국민주택채권매입: 대출금액*120%*1%*채권할인율",#NAME?,"-1개월이내:대출금리+3%
-3개월이내:대출금리+3%
-3개월초과:대출금리+3%(최고연체이자율:15%)",0,20241218,
신한은행,신한주택대출,"영업점,모집인","- 인지세: 해당세액의 50%(대출금액 5천만원 이하시 없음)
- 국민주택채권매입: 대출금액*120%*1%*채권할인율",#NAME?,"-1개월이내:대출금리+3%
-3개월이내:대출금리+3%
-3개월초과:대출금리+3%(최고연체이자율:15%)",0,20241218,
농협은행주식회사,NH주택담보대출,영업점,"1. 인지세
  - 해당 세액의 50%
2. 국민주택채권매입비용
  - 근저당권 설정금액 × 10 ÷ 1,000
3. 주택신보출연료","중도상환원금 × 적용요율 × (대출기간 - 경과일수) ÷ 대출기간
- 대출기간 : 3년을 초과하는 경우 3년
- 적용요율 : 고정금리 1.4%, 변동금리 1.2%","연체기간에 관계없이 대출금리 + 3%
최대 연 15%",해당 주택의 담보평가금액에 따라 산출된 가능금액 이내,20241216,
농협은행주식회사,채움고정금리모기지론,영업점,"1. 인지세
  - 해당 세액의 50%
2. 국민주택채권매입비용
  - 근저당권 설정금액 × 10 ÷ 1,000
3. 주택신보출연료","중도상환원금 × 적용요율 × (대출기간 - 경과일수) ÷ 대출기간
- 대출기간 : 3년을 초과하는 경우 3년
- 적용요율 : 고정금리 1.4%, 변동금리 1.2%","연체기간에 관계없이 대출금리 + 3%
최대 연 15%",해당 주택의 담보평가금액에 따라 산출된 가능금액 이내,20241216,
하나은행,하나원큐 주택담보대출,스마트폰,"1. 인지세 : 50%
2. 근저당 설정비 중 고객부담 항목
   - 주택채권매입비용 등","중도상환금액 × 중도상환해약금률* × ( 대출잔여일수 ÷ 대출기간** )
* 고정금리 1.4%, 변동금리 1.2% (단 비거치식 분할상환방식은  고정금리 1.3%, 변동금리 1.1%)
** 대출약정일로부터 최장 3년",적용금리+3% ( 최고 15% ),담보별 가용가 범위내,20241220,
하나은행,하나원큐 아파트론,스마트폰,"1. 인지세 : 50%
2. 근저당 설정비 중 고객부담 항목
   - 주택채권매입비용 등","중도상환금액 × 중도상환해약금률* × ( 대출잔여일수 ÷ 대출기간** )
* 고정금리 1.4%, 변동금리 1.2% (단 비거치식 분할상환방식은  고정금리 1.3%, 변동금리 1.1%)
** 대출약정일로부터 최장 3년",적용금리+3% ( 최고 15% ),담보별 가용가 범위내,20241220,
주식회사 케이뱅크,아파트담보대출(일반),스마트폰,"1. 인지세 - 해당세액의 50%
2. 근저당권 설정비 중 고객 부담 항목
   - 주택채권 매입비용 등","중도상환금액*해약금요율
(1.40%)*(3년-대출실행 후 경과기간)/3년,
대출 실행 3년 이후 면제","적용금리+3%(최고 15%)
단, 대출이자가 연 15% 이상일 경우
 연체이자 연 2%를 가산","LTV 최대 70%,
신규 - 최대 2억원,
대환 - 최대 10억원",20241218,20250118
주식회사 케이뱅크,아파트담보대출(구입),스마트폰,"1. 인지세 - 해당세액의 50%
2. 근저당권 설정비 중 고객 부담 항목
   - 주택채권 매입비용 등","중도상환금액*해약금요율
(1.40%)*(3년-대출실행 후 경과기간)/3년, 대출 실행 3년 이후 면제","적용금리+3%(최고 15%)
단, 대출이자가 연 15% 이상일 경우
 연체이자 연 2%를 가산","LTV 최대 70%, 최대 10억원",20241218,20250118
수협은행,SH으뜸모기지론,"영업점,모집인","1. 인지세 : 해당세액의 50%

2. 국민주택채권 매입비용 : 대출금액 X  120% X 1% X 채권할인율

3. 화재보험료 (아파트외 물건지에 한함)","중도상환금액 X 수수료율* X (대출잔여일수 / 대출기간**)

* 1.2%(고정금리인 경우 1.4%)
** 대출기간이 3년을 초과하는 경우 3년",대출금리+연3%,담보인정비율(LTV) 최대 70%,20241218,
주식회사 카카오뱅크,주택담보대출,스마트폰,"- 인지세 : 해당세액의 50%(대출금액 5천만원 이하시 없음)
- 국민주택채권 본인부담금 : 대출금액×110%×1%×채권할인율",없음,"대출금리+3%
(최고 연체이자율 : 15%)",최대 10억원,20241218,
오에스비저축은행,해피홈론,모집인,"-인지세:
해당금액의 고객과 은행이 각각 1/2부담(5천만원 이하 면제)
-근저당권 설정 시 채권할인료 / 근저당권 해지 수수료(상환)","-중도상환금액x 2% x 대출잔여일수/대출기간
-3년 경과 후 : 없음","약정금리+3%
(법정최고금리 최대 20%)","LTV 70%, 최대 8억원",20241220,
에스비아이저축은행,SBI주택대출,"영업점,인터넷","- 인지세 :
고객, 금융회사 50%씩 부담
(5,000만원
이하는
해당사항없음)",- 상환금액*2%*대출잔여일수/대출약정기간(3년 이내 중도 상환시 적용),약정금리 + 3%p (법정최고금리 20% 이내),"- 아파트 시세(KB부동산, 한국부동산원)의 최대 70%, 최대 8억원 까지
(단, 담보물건지 지역 및 담보평가금액, 연소득금액 등에 따라 차등적용)",20241220,
바로저축은행,중도금대출(주택),영업점,"인지세
(차주는 발생비용의 50% 부담)",0~2%,약정금리 + 3%,"LTV : 40%~70%
(지역에 따라 차등)

DTI : 40%~60%
(차주에 따라 차등)",20241220,
고려저축은행,아파트담보대출,"영업점,모집인","-인지세 : 해당세액 x 50%
(대출금액 5천만원 이하시 없음)
- 채권할인료, 말소비용",#NAME?,#NAME?,90,20241220,
국제저축은행,일반자금대출,영업점,"- 인지세 : 해당세액 × 50%(대출금액 5천만원 이하 없음)
- 국민주택채권 매입 : 대출금액 × 130% × 1% × 채권할인율","중도상환금액×2%이내×
(대출잔여일수÷대출기간 총일수)
*취급 후 3년 초과 시 면제",약정이율 +3.0%,LTV 70%,20241220,
디에이치저축은행,중도금집단대출,영업점,인지대(해당세액*50%),없음,약정이율+연체가산이자율(3%),분양가액의 60% 범위내,20241220,
우리저축은행,서면4차 봄여름가을겨울 중도금대출,기타,"-인지세:해당세액*50%
(5천만원이하
없음)",1,약정금리+3%,0.5,20241220,
대백저축은행,마이홈주택자금대출,"영업점,모집인","- 인지세 : 해당세액 × 50%(대출금액 5천만원 이하시 없음)
- 국민주택채권 매입 : 대출금액 × 130% × 1% × 채권할인율
- 화재보험료",중도상환금액x2%x(대출잔여일수÷대출기간 총일수),"-3개월이하:약정금리+3%
-6개월이하:약정금리+3%
-6개월초과:약정금리+3%
(최고 연체이자율: 20%)",- LTV 70%,20241220,
대백저축은행,대백마이홈론,"영업점,모집인","- 인지세 : 해당세액 × 50%(대출금액 5천만원 이하시 없음)
- 국민주택채권 매입 : 대출금액 × 130% × 1% × 채권할인율
- 화재보험료",중도상환금액x2%x(대출잔여일수÷대출기간 총일수),"-3개월이하:약정금리+3%
-6개월이하:약정금리+3%
-6개월초과:약정금리+3%
(최고 연체이자율: 20%)",- LTV 70%,20241220,
대백저축은행,마이홈주택담보대출(종통),"영업점,모집인","- 인지세 : 해당세액 × 50%(대출금액 5천만원 이하시 없음)
- 국민주택채권 매입 : 대출금액 × 130% × 1% × 채권할인율
- 화재보험료",없음,"-3개월이하:약정금리+3%
-6개월이하:약정금리+3%
-6개월초과:약정금리+3%
(최고 연체이자율: 20%)",- LTV 70%,20241220,
유니온상호저축은행,중도금대출,영업점,- 인지세 : 해당세액 × 50%(대출금액 5천만원 이하시 없음),#NAME?,- 약정금리+3%(최고 연체이자율 : 연 20%),- (할인)분양금액의 60% 이내,20241220,
평택저축은행,주택담보대출,영업점,"1. 인지세 : 해당세액 × 50%(대출금액 5천만원 이하시 없음)
2. 화재보험료
3. 근저당권설정시 채권매입비용","중도상환금액×[0.5%~2.0%]×(대출잔여일수÷대출기간 총일수)
* 대출 취급 후 3년 경과시 면제","약정금리+3%
(최고 연체이자율 : 연 20%)","- LTV 70%
- DTI 60%
- DSR 50%
(최대 8억원)
(단, 투기(과열)지역 및 조정대상지역의 경우 별도 적용)",20241220,
안양저축은행,일반자금대출,"영업점,모집인","인지세:해당세액 x 50%(대출금액 5천만원 이하시 없음)

국민주택채권매입: 대출금액 x 130% x 1% x 채권할인율",중도상환금액 x 2% x (대출잔여일수/대출기간 총일수),약정금리 + 연체가산이자율 최대 3%,"LTV 70%
단,투기(과열)지역 및 조정대상지역의 경우 별도적용",20241220,
영진저축은행,일반자금대출,영업점,"- 인지세 : 1/2
- 국민주택채권 매입비용 등",- 중도상환금액×2%이내×(대출잔여일수÷대출기간 총일수),3%,"LTV 70% 이내
(지역별, 유형별 차주별 차등적용)",20241220,
영진저축은행,종합통장대출,영업점,"- 인지세 : 1/2
- 국민주택채권 매입비용 등",없음,0.03,"LTV 70% 이내
(지역별, 유형별 차주별 차등적용)",20241220,
융창저축은행,부동산담보대출,"영업점,모집인","- 인지세 : 해당세액 × 50%(대출금액 5천만원 이하시 없음)
- 화재보험료","- 중도상환금액×2%이내 차등적용×(대출잔여일수÷대출기간 총일수)
- 대출 취급 후 3년 경과시 면제","약정금리+3%
(최고 연체이자율 : 연 19%)","경우에 따라
차등적용
(LTV 65%~85%)",20241220,
페퍼저축은행,가계주택담보대출,"영업점,인터넷,스마트폰,모집인,전화(텔레뱅킹),기타","- 인지세 : 해당세액 × 50%(대출금액 5천만원 이하시 없음)
- 국민주택채권 매입 : 대출금액 × 120% × 1% × 채권할인율
- 화재보험료
- 기존 근저당권 설정등기의 감액/말소 비용","- 중도상환금액×2%×(대출잔여일수÷대출기간 총일수)
* 대출 취급 후 3년 경과시 면제","약정금리+3%
(최고 연체이자율 : 연 20%)","- LTV 최대 70%
(지역별, 고객등급별 차등 적용)",20241220,
CK저축은행,주택담보대출,영업점,#NAME?,"- 중도상환금액 × 2% × (대출잔여일수 ÷ 대출기간 총일수)
- 대출취급후 2년후 면제","- 1개월 이하 : 약정금리+3%
- 3개월 이하 : 약정금리+3%
- 3개월 초과 : 약정금리+3%
(최고 연체이자율 : 연 20%)",LTV 70%,20241220,
대명상호저축은행,주택담보대출,"영업점,모집인","5,000만원 초과시 인지세50%부담","0.5~2, 중도상환금액×수수료율×대출잔여일수/대출기간","약정금리+3%,","KB부동산시세70, 감정가70",20241220,
아산저축은행,일반자금대출,영업점,"인지대:고객 50%부담(5천만원이하 면제)
(1억원이하 70,000원)
(10억원이하 150,000원)
(10억원초과 350,000원)",- 중도상환금액×[1%~2%]×(대출잔여일수÷대출기간 총일수),"-단일이율:약정이율+3%
-일괄적용 (최고 연체이자율 : 연 20%)",감정가대비 70%,20241220,
아산저축은행,종합통장대출,영업점,"인지대:고객 50%부담(5천만원이하 면제)
(1억원이하 70,000원)
(10억원이하 150,000원)
(10억원초과 350,001원)",- 중도상환금액×[1%~3%]×(대출잔여일수÷대출기간 총일수),"-단일이율:약정이율+3%
-일괄적용 (최고 연체이자율 : 연 21%)",감정가대비 70%,20241220,
오투저축은행,주택담보대출,영업점,인지세 : 해당세액 × 50%(대출금액 5천만원 이하시 없음),"- 중도상환금액×[1%~2%]×(대출잔여일수÷대출기간 총일수)
- 자납시 면제",연체시 약정금리+3%,LTV 60%,20241220,
스타저축은행,6개월변동금리적용 - APT론,영업점,"설정비 면제(국민주택 채권매입비 고객부담)
인지세법에서 정한 금액의 50%부담","기한전상환대출금액×기한전상환수수료율×대출잔여일수/대출약정기간

*기한전상환수수료율 -1년이내 2%, 2년이내 1%, 3년이내 0.5%",○약정금리+3%,LTV 70%,20241220,
대한저축은행,일반자금대출(주택담보),영업점,"- 인지세 : 해당세액 * 50% (대출금액 5천만원 이하시 없음)
- 설정비용 중 주택채권매입비용",- 중도상환금액 * [2.0%] * (대출잔여일수/대출기간 총일수),"- 약정금리+[3%]
- 최대 20% 제한","70
(서민실소유자의 경우 최대 70%까지 / 생애최초주택구매자의 경우 최대 80%까지)",20241220,
센트럴저축은행,일반자금대출(만기일시),영업점,"인지세(인지세의 50% 고객부담)
국민주택채권 매입비용
기존 근저당권 설정등기의 주소변경, 감액/말소 비용
확인서면(등기필증이 없는 경우)",연2.0%이내(기한전상환대출금액×기한전상환수수료율×대출잔여일수/대출기간),"대출금리 + 3%
(최고 연체이자율: 연 20%)",유형 및 지역에 따라 차등,20241220,
센트럴저축은행,일반자금대출(원금균등),영업점,"인지세(인지세의 50% 고객부담)
국민주택채권 매입비용
기존 근저당권 설정등기의 주소변경, 감액/말소 비용
확인서면(등기필증이 없는 경우)",연2.0%이내(기한전상환대출금액×기한전상환수수료율×대출잔여일수/대출기간),"대출금리 + 3%
(최고 연체이자율: 연 20%)",유형 및 지역에 따라 차등,20241220,
센트럴저축은행,가계종합통장대출,영업점,"인지세(인지세의 50% 고객부담)
국민주택채권 매입비용
기존 근저당권 설정등기의 주소변경, 감액/말소 비용
확인서면(등기필증이 없는 경우)",연2.0%이내(기한전상환대출금액×기한전상환수수료율×대출잔여일수/대출기간),"대출금리 + 3%
(최고 연체이자율: 연 20%)",유형 및 지역에 따라 차등,20241220,
스마트저축은행,중도금(주택)대출,"영업점,기타","-인지세(대출금액 5천만원 초과시 발생) : 해당세액 × 50%
-국민주택채권 매입금액 : 대출금액 × 130% × 1% × 채권할인율","최대 2% 이내
(기한전상환대출금액×[~2%]×대출잔여일수÷대출기간약정기간)
단, 잔여일수 및 약정기간은 최대 3년 이내로 적용","대출금리 + 3%
(단, 법정최고금리 연 20% 이내)","총 분양가의 최대 60%
(사업장별로 상이)",20241220,
한국투자저축은행,중도금대출_주택,"영업점,기타","- 인지비용 : 대출금 5천만원까지는 수입인지 비용이 없으며, 5천만원 초과시 대출 금액별 수입인지 비용 차등 부과
(수입인지 비용은 각50%씩 고객과 저축은행이 부담)","- 상환금액의 2%이내(최초 대출취급일로부터 3년 이후 면제)
- 기한전상환대출금액x기한전상환수수료율x대출잔여일수/대출약정기간","- 연체시 : 약정이자 + 연3%
* 연체이자율 상한 : 법정최고금리 연20%이내",사업장별로 대출한도 상이함,20241220,
한국투자저축은행,가계아파트담보대출,"영업점,인터넷,기타","- 근저당권 관련비용(국민주택채권매입비, 말소비용 등) 및 화재보험료
- 인지비용 : 대출금 5천만원까지는 수입인지 비용이 없으며, 5천만원 초과시 대출 금액별 수입인지 비용 차등 부과
(수입인지 비용은 각50%씩 고객과 저축은행이 부담)","- 상환금액의 2%이내(최초 대출취급일로부터 3년 이후 면제)
- 기한전상환대출금액x기한전상환수수료율x대출잔여일수/대출약정기간","- 연체시 : 약정이자 + 연3%
* 연체이자율 상한 : 법정최고금리 연20%이내",규제지역별 LTV 한도 차등 적용,20241220,
한국투자저축은행,부동산담보(주택),"영업점,모집인,기타","- 근저당권 관련비용(국민주택채권매입비, 말소비용 등) 및 화재보험료
- 인지비용 : 대출금 5천만원까지는 수입인지 비용이 없으며, 5천만원 초과시 대출 금액별 수입인지 비용 차등 부과
(수입인지 비용은 각50%씩 고객과 저축은행이 부담)","- 상환금액의 2%이내(최초 대출취급일로부터 3년 이후 면제)
- 기한전상환대출금액x기한전상환수수료율x대출잔여일수/대출약정기간","- 연체시 : 약정이자 + 연3%
* 연체이자율 상한 : 법정최고금리 연20%이내",부동산 유형 및 지역에 따라 차등 적용,20241220,
드림저축은행,중도금대출(월수일시),영업점,"인지세:
해당세액 x 50%
(대출금액 5천만원 이하시 없음)",없음,"약정금리 +3%
(최고연체이자율: 연 20%)","분양금액의
60% 이내",20241220,
대아상호저축은행,일반자금대출,영업점,"5천만원이하 : 없음
1억원이하 : 70,000
10억원이하 : 150,000
10억원초과 : 350,000",3년 이내 중도상환 시 최대 2.0%(잔여일수에 대해 차등적용),"연체이자율
+3%(최대20%이내)","(최소)100만원~(최대)15,000만원",20241220,
머스트삼일저축은행,중도금대출,"영업점,기타",- 인지세 : 해당세액 × 50%(대출금액 5천만원 이하시 없음),없음,약정이율+3%(최고연체이자율 20%),-분양금액 60%이내,20241220,
대원상호저축은행,일반자금대출,영업점,"- 인지세 : 해당세액 × 50%(대출금액 5천만원 이하시 없음)
- 국민주택채권 매입 : 대출금액 × 130% × 1% × 채권할인율",#NAME?,"- 전체기간 : 약정금리+3%
(최고 연체이자율 : 연 20%)",- LTV 70%,20241220,
동원제일저축은행,주택담보,영업점,"-인지세 비용: 인지세법에 의해 대출금 5천만원까지 수입인지 비용이 없음, 5천만원 초과시 대출금액별로 수입인지 비용 차등부과, 비용은 각 50%씩 고객과 은행이 부담
-근저당 설정비용(신탁비용): 은행부담
-근저당 해지수수료: 고객부담
-취급수수료: 없음
-기타수수료: 없음
-국민주택채권 매입비용: 고객부담
-화재보험료: 고객부담
-감정평가료: 은행부담","□ 기한전상환수수료율:
기업대출 : 2.0%이내, 가계대출 : 1.9%이내
- 잔여일수에 따라 차등적용
- 대출기한전상환수수료 포함 연20.0% 이내
- 산식
: 기한전대출상환금액 x 기한전상환수수료율 x (대출잔여일수 ÷ 대출기간)
※ 단, 대출개시일로부터
최대 3년이내 상환시 적용","·대출금리 + 연3%
- 연체이자율
(지연배상금률)은
법정 최고금리
(20.0%)를 초과하지
않습니다.","□ KB시세 일반가의
최대 90%
개인 : KB시세 일반가
최대 70%
사업자 : 90%",20241220,
